filename	url	sha256	role
GSE64703_Sox10_CNS_DB_peaks.bed.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64703/suppl/GSE64703_Sox10_CNS_DB_peaks.bed.gz	dbd74fabcd718b111f7e6abd4e4bcc3b686e49b65aa975cc69dc465be429fb8b	CNS_differential_peaks
GSE64703_Sox10_PNS_DB_peaks.bed.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64703/suppl/GSE64703_Sox10_PNS_DB_peaks.bed.gz	82dbbaf33a2076e8c3cbeb2105f97f3c8021cd1a9129b8352c3b447b92389ef0	PNS_differential_peaks
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64703/suppl/GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	7f1cf8d5a84fcd06321a8a1d9898e6f8475af3e11ef0eb02d76ea288efe40c27	PNS_SOX10_signal
GSE64703_Sox10_peaks_CNS.bed.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64703/suppl/GSE64703_Sox10_peaks_CNS.bed.gz	4c3e4d8273bfac73b795180e3c2b222997828e7b48ab07ae9b62351292fc8837	CNS_SOX10_peaks
GSE64703_Sox10_peaks_PNS.bed.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64703/suppl/GSE64703_Sox10_peaks_PNS.bed.gz	e1bfee1964b27f356bc7d532497511868b69e1a73981746e78339786b7882138	PNS_SOX10_peaks
GSE64703_sox10_SC_run128.ucsc.bedGraph.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64703/suppl/GSE64703_sox10_SC_run128.ucsc.bedGraph.gz	bb363962e141a6dc21d38a8dfa095cb967f322a2d01087aac5b6429a02f39ade	CNS_SOX10_signal
GSE64971_H3K27ac_P15_sciatic_nerve.bed.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64971/suppl/GSE64971_H3K27ac_P15_sciatic_nerve.bed.gz	b098fed67909cca5013fdf63f2992ae9bdfbb68bdd7f5b03c48811bf67fb734f	PNS_H3K27ac_peaks
GSE64971_H3K27ac_P15_sciatic_nerve.ucsc.bedGraph.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64971/suppl/GSE64971_H3K27ac_P15_sciatic_nerve.ucsc.bedGraph.gz	e0dd6529fc262d0f20eb4e95f0051111824a3822b312dcae3a6d58cb29e37cdc	PNS_H3K27ac_signal
GSE64703_family.soft.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64703/soft/GSE64703_family.soft.gz	fd99a6b0d6e24ea0c7a89c859e84b7d8277a4860a15c24e8fe76a75b42992f39	GEO_metadata
GSE64971_family.soft.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64971/soft/GSE64971_family.soft.gz	180e5d81365e0cc189d82998d8f864be8d320d4c7fab441a437c5281b39d0657	GEO_metadata
fantom_human_primary_cell_hCAGE_hg19_sdrf.tsv	https://fantom.gsc.riken.jp/5/datafiles/latest/basic/human.primary_cell.hCAGE/00_human.primary_cell.hCAGE.hg19.assay_sdrf.txt	0a2d40bf13c67b765ea629d3b3754005867d2d59da50d3d7d3985817cd9cddf8	FANTOM_metadata
rn5_refGene.txt.gz	https://hgdownload.soe.ucsc.edu/goldenPath/rn5/database/refGene.txt.gz	d4c501c3cc5db7be0657d8f0a05d00b061fb1da73a9838c8d0690443131c985d	rn5_annotation
