file	metric_type	metric	value	scope
ENCFF029IGD	ScAtacLibraryComplexityQualityMetric	NRF	0.9982599453757599	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF029IGD	ScAtacLibraryComplexityQualityMetric	PBC1	0.9991292973408759	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF029IGD	ScAtacLibraryComplexityQualityMetric	PBC2	1148.6073693791063	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF029IGD	ScAtacLibraryComplexityQualityMetric	distinct_fragments	161676318	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF029IGD	ScAtacLibraryComplexityQualityMetric	paired_duplicate_reads	90347185	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF029IGD	ScAtacLibraryComplexityQualityMetric	paired_optical_duplicate_reads	1161925	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF029IGD	ScAtacLibraryComplexityQualityMetric	paired_reads	161817226	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF029IGD	ScAtacLibraryComplexityQualityMetric	frac_duplicate_reads	0.558329	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF029IGD	ScAtacLibraryComplexityQualityMetric	positions_with_one_read	161535546	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF029IGD	ScAtacLibraryComplexityQualityMetric	total_fragments	161958134	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF029IGD	ScAtacLibraryComplexityQualityMetric	unpaired_duplicate_reads	0	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF029IGD	ScAtacLibraryComplexityQualityMetric	unpaired_reads	0	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF029IGD	ScAtacLibraryComplexityQualityMetric	unmapped_reads	0	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF029IGD	ScAtacAlignmentQualityMetric	with_itself	142940082	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF029IGD	ScAtacAlignmentQualityMetric	with_itself_qc_failed	0	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF029IGD	ScAtacAlignmentQualityMetric	properly_paired_reads	142940082	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF029IGD	ScAtacAlignmentQualityMetric	properly_paired_reads_qc_failed	0	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF029IGD	ScAtacAlignmentQualityMetric	paired_reads	142940082	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF029IGD	ScAtacAlignmentQualityMetric	paired_reads_qc_failed	0	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF029IGD	ScAtacAlignmentQualityMetric	frac_properly_paired_reads	1.0	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF029IGD	ScAtacAlignmentQualityMetric	mapped_reads	142940082	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF029IGD	ScAtacAlignmentQualityMetric	mapped_reads_qc_failed	0	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF029IGD	ScAtacAlignmentQualityMetric	frac_mapped_reads	1.0	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF029IGD	ScAtacAlignmentQualityMetric	singletons	0	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF029IGD	ScAtacAlignmentQualityMetric	singletons_qc_failed	0	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF029IGD	ScAtacAlignmentQualityMetric	read1	71470041	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF029IGD	ScAtacAlignmentQualityMetric	read1_qc_failed	0	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF029IGD	ScAtacAlignmentQualityMetric	read2	71470041	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF029IGD	ScAtacAlignmentQualityMetric	read2_qc_failed	0	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF029IGD	ScAtacAlignmentQualityMetric	total_reads	142940082	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF029IGD	ScAtacAlignmentQualityMetric	total_reads_qc_failed	0	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF029IGD	ScAtacAlignmentQualityMetric	duplicate_reads	0	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF029IGD	ScAtacAlignmentQualityMetric	duplicate_reads_qc_failed	0	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF029IGD	ScAtacAlignmentQualityMetric	frac_singletons	0.0	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF029IGD	ScAtacAlignmentQualityMetric	diff_chroms	0	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF029IGD	ScAtacAlignmentQualityMetric	diff_chroms_qc_failed	0	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF029IGD	ScAtacAlignmentQualityMetric	non_mito_reads	388867126	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF029IGD	ScAtacAlignmentQualityMetric	mito_reads	8276098	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF029IGD	ScAtacAlignmentQualityMetric	frac_mito_reads	0.020839076433543782	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF540FVR	ScAtacAlignmentQualityMetric	with_itself	103583990	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF540FVR	ScAtacAlignmentQualityMetric	with_itself_qc_failed	0	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF540FVR	ScAtacAlignmentQualityMetric	properly_paired_reads	103583990	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF540FVR	ScAtacAlignmentQualityMetric	properly_paired_reads_qc_failed	0	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF540FVR	ScAtacAlignmentQualityMetric	paired_reads	103583990	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF540FVR	ScAtacAlignmentQualityMetric	paired_reads_qc_failed	0	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF540FVR	ScAtacAlignmentQualityMetric	frac_properly_paired_reads	1.0	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF540FVR	ScAtacAlignmentQualityMetric	mapped_reads	103583990	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF540FVR	ScAtacAlignmentQualityMetric	mapped_reads_qc_failed	0	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF540FVR	ScAtacAlignmentQualityMetric	frac_mapped_reads	1.0	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF540FVR	ScAtacAlignmentQualityMetric	singletons	0	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF540FVR	ScAtacAlignmentQualityMetric	singletons_qc_failed	0	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF540FVR	ScAtacAlignmentQualityMetric	read1	51791995	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF540FVR	ScAtacAlignmentQualityMetric	read1_qc_failed	0	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF540FVR	ScAtacAlignmentQualityMetric	read2	51791995	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF540FVR	ScAtacAlignmentQualityMetric	read2_qc_failed	0	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF540FVR	ScAtacAlignmentQualityMetric	total_reads	103583990	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF540FVR	ScAtacAlignmentQualityMetric	total_reads_qc_failed	0	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF540FVR	ScAtacAlignmentQualityMetric	duplicate_reads	0	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF540FVR	ScAtacAlignmentQualityMetric	duplicate_reads_qc_failed	0	source bulk snATAC library; not Schwann-subset QC or biological replication
ENCFF540FVR	ScAtacAlignmentQualityMetric	frac_singletons	0.0	source bulk snATAC library; not Schwann-subset QC or biological replication
