file	level	category	detail	handling
ENCFF029IGD	INTERNAL_ACTION	mismatched status	Released analysis {ENCAN629VIA|/analyses/ENCAN629VIA/} has in progress subobject file {ENCFF266NPQ|/files/ENCFF266NPQ/}	matching peak MD5 is ENCSR221DFU leg Schwann annotation: same bytes, not independent; internal-status flags retained
ENCFF540FVR	INTERNAL_ACTION	mismatched status	Released analysis {ENCAN488NQM|/analyses/ENCAN488NQM/} has in progress subobject file {ENCFF398CDL|/files/ENCFF398CDL/}	matching peak MD5 is ENCSR221DFU leg Schwann annotation: same bytes, not independent; internal-status flags retained
ENCFF439MKP	INTERNAL_ACTION	mismatched status	Released analysis step version {encode-sc-pseudobulk-bam-subsetting-step-v-1-0|/analysis-step-versions/encode-sc-pseudobulk-bam-subsetting-step-v-1-0/} has in progress subobject analysis step {encode-sc-pseudobulk-bam-subsetting-step-v-1|/analysis-steps/encode-sc-pseudobulk-bam-subsetting-step-v-1/}	matching peak MD5 is ENCSR221DFU leg Schwann annotation: same bytes, not independent; internal-status flags retained
ENCFF439MKP	INTERNAL_ACTION	inconsistent derived_from	derived_from is a list of files that were used to create a given file; for example, fastq file(s) will appear in the derived_from list of an alignments file. Alignments file {ENCFF439MKP|/files/ENCFF439MKP/} from experiment {ENCSR301DUJ|/annotations/ENCSR301DUJ/} specifies a file {ENCFF029IGD|/files/ENCFF029IGD/} from a different experiment {ENCSR726QTF|/experiments/ENCSR726QTF/} in its derived_from list.	matching peak MD5 is ENCSR221DFU leg Schwann annotation: same bytes, not independent; internal-status flags retained
ENCFF439MKP	INTERNAL_ACTION	inconsistent derived_from	derived_from is a list of files that were used to create a given file; for example, fastq file(s) will appear in the derived_from list of an alignments file. Alignments file {ENCFF439MKP|/files/ENCFF439MKP/} from experiment {ENCSR301DUJ|/annotations/ENCSR301DUJ/} specifies a file {ENCFF540FVR|/files/ENCFF540FVR/} from a different experiment {ENCSR205TUH|/experiments/ENCSR205TUH/} in its derived_from list.	matching peak MD5 is ENCSR221DFU leg Schwann annotation: same bytes, not independent; internal-status flags retained
ENCFF602YVR	WARNING	matching md5 sums	The md5 sum of file {ENCFF602YVR|/files/ENCFF602YVR/} matches that of file(s) {ENCFF414RAQ|/files/ENCFF414RAQ/}.	matching peak MD5 is ENCSR221DFU leg Schwann annotation: same bytes, not independent; internal-status flags retained
ENCFF602YVR	INTERNAL_ACTION	mismatched status	Released file {ENCFF602YVR|/files/ENCFF602YVR/} has deleted subobject file {ENCFF249CEO|/files/ENCFF249CEO/}	matching peak MD5 is ENCSR221DFU leg Schwann annotation: same bytes, not independent; internal-status flags retained
ENCFF602YVR	INTERNAL_ACTION	mismatched status	Released file {ENCFF602YVR|/files/ENCFF602YVR/} has deleted subobject file {ENCFF833ZDW|/files/ENCFF833ZDW/}	matching peak MD5 is ENCSR221DFU leg Schwann annotation: same bytes, not independent; internal-status flags retained
ENCFF632FMT	WARNING	matching md5 sums	The md5 sum of file {ENCFF632FMT|/files/ENCFF632FMT/} matches that of file(s) {ENCFF251PBC|/files/ENCFF251PBC/}.	matching peak MD5 is ENCSR221DFU leg Schwann annotation: same bytes, not independent; internal-status flags retained
ENCFF632FMT	INTERNAL_ACTION	mismatched status	Released file {ENCFF632FMT|/files/ENCFF632FMT/} has deleted subobject file {ENCFF916BWT|/files/ENCFF916BWT/}	matching peak MD5 is ENCSR221DFU leg Schwann annotation: same bytes, not independent; internal-status flags retained
ENCFF632FMT	INTERNAL_ACTION	mismatched status	Released file {ENCFF632FMT|/files/ENCFF632FMT/} has deleted subobject file {ENCFF722IKF|/files/ENCFF722IKF/}	matching peak MD5 is ENCSR221DFU leg Schwann annotation: same bytes, not independent; internal-status flags retained
