source	run_accession	experiment_accession	sample_accession	library_layout	read_count	base_count	fastq_bytes
SRP051729	SRR1743286	SRX831351	SAMN03275815	SINGLE	17547664	631715904	544607687
SRP051729	SRR1743290	SRX831354	SAMN03275813	SINGLE	35608252	1281897072	1434744732
SRP051729	SRR1743292	SRX831356	SAMN03275819	SINGLE	91787659	4681170609	4298960219
SRP051729	SRR1743288	SRX831352	SAMN03275812	SINGLE	29579628	1035286980	899482615
SRP051729	SRR1743293	SRX831357	SAMN03275818	SINGLE	36341204	1271942140	1239550913
SRP051729	SRR1743285	SRX831350	SAMN03275814	SINGLE	37609463	1353940668	1290779628
SRP051729	SRR1743287	SRX831351	SAMN03275815	SINGLE	16003622	576130392	522305125
SRP051729	SRR1743291	SRX831355	SAMN03275816	SINGLE	111820759	5702858709	5604752530
SRP051729	SRR1743289	SRX831353	SAMN03275817	SINGLE	154586542	7883913642	6945309935
SRP052233	SRR1758740	SRX843002	SAMN03284382	SINGLE	159562838	8137704738	7962340679
SRP052233	SRR1758741	SRX843003	SAMN03284383	SINGLE	108246713	5520582363	5337235739
SRP049618	SRR1645296	SRX754750	SAMN03168572	SINGLE	40287870	4069074870	3750558752
SRP049618	SRR1645302	SRX754756	SAMN03168576	SINGLE	38164305	3854594805	3660765568
SRP049618	SRR1645298	SRX754752	SAMN03168574	SINGLE	24681625	2492844125	2288861058
SRP049618	SRR1645300	SRX754754	SAMN03168570	SINGLE	21297471	2151044571	2070871211
SRP049618	SRR1645301	SRX754755	SAMN03168569	SINGLE	39351486	3974500086	3800888547
SRP049618	SRR1645303	SRX754757	SAMN03168571	SINGLE	42439666	4286406266	4129249657
SRP049618	SRR1645297	SRX754751	SAMN03168573	SINGLE	29495516	2979047116	2736470219
SRP049618	SRR1645299	SRX754753	SAMN03168575	SINGLE	53099099	5363008999	4904852344
