region_id	experiment	target	unique_peak_intervals	file	context
PMP22_INTRONIC	ENCSR771YJT	H3K27ac	1	ENCFF703WKZ	bulk tibial nerve; not purified Schwann
PMP22_INTRONIC_TRANSGENE	ENCSR771YJT	H3K27ac	1	ENCFF703WKZ	bulk tibial nerve; not purified Schwann
PMP22_P2_REPORTER	ENCSR771YJT	H3K27ac	1	ENCFF703WKZ	bulk tibial nerve; not purified Schwann
PMP22_DISTAL_A	ENCSR771YJT	H3K27ac	1	ENCFF703WKZ	bulk tibial nerve; not purified Schwann
PMP22_DISTAL_B	ENCSR771YJT	H3K27ac	1	ENCFF703WKZ	bulk tibial nerve; not purified Schwann
PMP22_DISTAL_C	ENCSR771YJT	H3K27ac	1	ENCFF703WKZ	bulk tibial nerve; not purified Schwann
PMP22_P1	ENCSR771YJT	H3K27ac	1	ENCFF703WKZ	bulk tibial nerve; not purified Schwann
PMP22_P2	ENCSR771YJT	H3K27ac	1	ENCFF703WKZ	bulk tibial nerve; not purified Schwann
PMP22_DISTAL	ENCSR771YJT	H3K27ac	12	ENCFF703WKZ	bulk tibial nerve; not purified Schwann
PMP22_INTRONIC	ENCSR580XUK	EP300	1	ENCFF474ZLP	bulk tibial nerve; not purified Schwann
PMP22_INTRONIC_TRANSGENE	ENCSR580XUK	EP300	1	ENCFF474ZLP	bulk tibial nerve; not purified Schwann
PMP22_P2_REPORTER	ENCSR580XUK	EP300	1	ENCFF474ZLP	bulk tibial nerve; not purified Schwann
PMP22_DISTAL_A	ENCSR580XUK	EP300	1	ENCFF474ZLP	bulk tibial nerve; not purified Schwann
PMP22_DISTAL_B	ENCSR580XUK	EP300	0	ENCFF474ZLP	bulk tibial nerve; not purified Schwann
PMP22_DISTAL_C	ENCSR580XUK	EP300	1	ENCFF474ZLP	bulk tibial nerve; not purified Schwann
PMP22_P1	ENCSR580XUK	EP300	1	ENCFF474ZLP	bulk tibial nerve; not purified Schwann
PMP22_P2	ENCSR580XUK	EP300	1	ENCFF474ZLP	bulk tibial nerve; not purified Schwann
PMP22_DISTAL	ENCSR580XUK	EP300	4	ENCFF474ZLP	bulk tibial nerve; not purified Schwann
PMP22_INTRONIC	ENCSR401ESD	DNase-seq	0	ENCFF095QHF	bulk tibial nerve; not purified Schwann
PMP22_INTRONIC_TRANSGENE	ENCSR401ESD	DNase-seq	0	ENCFF095QHF	bulk tibial nerve; not purified Schwann
PMP22_P2_REPORTER	ENCSR401ESD	DNase-seq	0	ENCFF095QHF	bulk tibial nerve; not purified Schwann
PMP22_DISTAL_A	ENCSR401ESD	DNase-seq	0	ENCFF095QHF	bulk tibial nerve; not purified Schwann
PMP22_DISTAL_B	ENCSR401ESD	DNase-seq	0	ENCFF095QHF	bulk tibial nerve; not purified Schwann
PMP22_DISTAL_C	ENCSR401ESD	DNase-seq	0	ENCFF095QHF	bulk tibial nerve; not purified Schwann
PMP22_P1	ENCSR401ESD	DNase-seq	0	ENCFF095QHF	bulk tibial nerve; not purified Schwann
PMP22_P2	ENCSR401ESD	DNase-seq	0	ENCFF095QHF	bulk tibial nerve; not purified Schwann
PMP22_DISTAL	ENCSR401ESD	DNase-seq	0	ENCFF095QHF	bulk tibial nerve; not purified Schwann
PMP22_INTRONIC	ENCSR469POZ	CTCF	1	ENCFF831KJJ	bulk tibial nerve; not purified Schwann
PMP22_INTRONIC_TRANSGENE	ENCSR469POZ	CTCF	1	ENCFF831KJJ	bulk tibial nerve; not purified Schwann
PMP22_P2_REPORTER	ENCSR469POZ	CTCF	1	ENCFF831KJJ	bulk tibial nerve; not purified Schwann
PMP22_DISTAL_A	ENCSR469POZ	CTCF	0	ENCFF831KJJ	bulk tibial nerve; not purified Schwann
PMP22_DISTAL_B	ENCSR469POZ	CTCF	0	ENCFF831KJJ	bulk tibial nerve; not purified Schwann
PMP22_DISTAL_C	ENCSR469POZ	CTCF	0	ENCFF831KJJ	bulk tibial nerve; not purified Schwann
PMP22_P1	ENCSR469POZ	CTCF	1	ENCFF831KJJ	bulk tibial nerve; not purified Schwann
PMP22_P2	ENCSR469POZ	CTCF	1	ENCFF831KJJ	bulk tibial nerve; not purified Schwann
