component	version	reference	purpose
Python	3.13.2	CPython	executed analysis
numpy	2.2.6	requirements-analysis.txt	locked analysis environment
scipy	1.15.3	requirements-analysis.txt	locked analysis environment
pandas	2.2.3	requirements-analysis.txt	locked analysis environment
scikit-learn	1.6.1	requirements-analysis.txt	locked analysis environment
matplotlib	3.10.3	requirements-analysis.txt	locked analysis environment
requests	2.32.3	requirements-analysis.txt	locked analysis environment
pyliftover	0.4.1	requirements-analysis.txt	locked analysis environment
pybigtools	0.2.4	requirements-analysis.txt	locked analysis environment
beautifulsoup4	4.13.4	requirements-analysis.txt	locked analysis environment
reference_genome	UCSC hg38 primary chromosomes	data/resource_lock.json	FASTA source bytes SHA256 pinned; no claim that patch contigs were used
annotation	GENCODE 50 / bulk quantification GENCODE29	data/resource_lock.json	locus and promoter definitions / original RNA quantification respectively
Borzoi_source	5c9358222b5026abb733ed5fb84f3f6c77239b37	data/resource_lock.json	training exposure audit only
