experiment	donor	file	symbol	gene_id	annotation	TPM	primary_PMP22_gene	symbol_assignment	expected_count	source_posterior_TPM_low	source_posterior_TPM_high	interpretation
ENCSR272UNO	ENCDO271OUW	ENCFF398VOV	PMP22	ENSG00000109099.14	V29	117.7	True	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	31510.0	114.239	119.914	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR272UNO	ENCDO271OUW	ENCFF398VOV	TEKT3	ENSG00000125409.12	V29	0.04	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	10.0	0.0779008	0.26576	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR272UNO	ENCDO271OUW	ENCFF398VOV	TVP23C	ENSG00000175106.16	V29	0.93	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	184.35	0.883342	1.28357	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR272UNO	ENCDO271OUW	ENCFF398VOV	RNU6-799P	ENSG00000200437.1	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	0	0	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR272UNO	ENCDO271OUW	ENCFF398VOV	PMP22	ENSG00000230971.1	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	3.39627e-08	0.00967117	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR272UNO	ENCDO271OUW	ENCFF398VOV	ENSG00000232058	ENSG00000232058.1	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	7.15852e-09	0.0209156	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR272UNO	ENCDO271OUW	ENCFF398VOV	ENSG00000237377	ENSG00000237377.2	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	3.14261e-06	0.221709	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR272UNO	ENCDO271OUW	ENCFF398VOV	RN7SL792P	ENSG00000239888.3	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	1.59733e-06	0.413562	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR272UNO	ENCDO271OUW	ENCFF398VOV	FBXW10B	ENSG00000241322.10	V29	0.02	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	2.0	0.0303294	0.167664	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR272UNO	ENCDO271OUW	ENCFF398VOV	ENSG00000251537	ENSG00000251537.4	V29	0.01	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	14.62	5.53094e-07	0.0251424	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR272UNO	ENCDO271OUW	ENCFF398VOV	SNORA74	ENSG00000252129.1	V29	0.0	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	0.0	1.96315e-05	8.46976	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
ENCSR272UNO	ENCDO271OUW	ENCFF398VOV	TVP23C-CDRT4	ENSG00000259024.6	V29	0.25	False	GENCODE50 transcript-ID match; source V29 gene IDs retained separately	130.42	0.184086	0.379276	bulk tissue expression; RSEM posterior interval is not between-donor biological uncertainty
