track	chrom	start	end	value
GSE64703_Sox10_PNS_DB_peaks.bed.gz	chr10	48367600	48367799	
GSE64703_Sox10_PNS_DB_peaks.bed.gz	chr10	48620200	48620599	
GSE64703_Sox10_PNS_DB_peaks.bed.gz	chr10	48645400	48645799	
GSE64703_Sox10_PNS_DB_peaks.bed.gz	chr10	48764400	48764599	
GSE64703_Sox10_PNS_DB_peaks.bed.gz	chr10	48776200	48776999	
GSE64703_Sox10_PNS_DB_peaks.bed.gz	chr10	49100400	49100799	
GSE64703_Sox10_PNS_DB_peaks.bed.gz	chr10	49109600	49109999	
GSE64703_Sox10_PNS_DB_peaks.bed.gz	chr10	49157000	49157399	
GSE64703_Sox10_PNS_DB_peaks.bed.gz	chr10	49191400	49191799	
GSE64703_Sox10_PNS_DB_peaks.bed.gz	chr10	49192800	49193199	
GSE64703_Sox10_PNS_DB_peaks.bed.gz	chr10	49201400	49201799	
GSE64703_Sox10_PNS_DB_peaks.bed.gz	chr10	49302600	49303199	
GSE64703_Sox10_PNS_DB_peaks.bed.gz	chr10	49318600	49319799	
GSE64703_Sox10_PNS_DB_peaks.bed.gz	chr10	49326800	49326999	
GSE64703_Sox10_PNS_DB_peaks.bed.gz	chr10	49332000	49332399	
GSE64703_Sox10_PNS_DB_peaks.bed.gz	chr10	49335200	49335599	
GSE64703_Sox10_PNS_DB_peaks.bed.gz	chr10	49344400	49344799	
GSE64703_Sox10_PNS_DB_peaks.bed.gz	chr10	49347000	49347399	
GSE64703_Sox10_PNS_DB_peaks.bed.gz	chr10	49349000	49349399	
GSE64703_Sox10_PNS_DB_peaks.bed.gz	chr10	49787200	49787399	
GSE64703_Sox10_PNS_DB_peaks.bed.gz	chr10	50342800	50343199	
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48317031	48317073	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48317073	48317181	9.0
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48317181	48317223	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48317581	48317731	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48318470	48318620	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48319906	48319980	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48319980	48320130	5.6
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48320550	48320575	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48320575	48320602	9.0
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48320602	48320700	11.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48320700	48320725	6.7
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48320725	48320752	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48322423	48322469	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48322469	48322573	9.0
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48322573	48322619	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48322984	48323134	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48323651	48323682	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48323682	48323832	4.0
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48327243	48327259	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48327259	48327393	9.0
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48327393	48327409	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48328485	48328635	2.2
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48328819	48331264	0.1
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48331264	48331414	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48331426	48331576	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48332236	48332386	4.5
GSE64703_Sox10_SN_run204.ucsc.bedGraph.gz	chr10	48332841	48332844	4.5
