source_track	rn5_start	rn5_end	status	grch38_chrom	grch38_start	grch38_end	mapped_fraction	strand	aligned_blocks	interpretation
InjuryDB_peaks	48680900	48681199	unmapped						[]	orthology annotation; tissue response remains rat evidence
InjuryDB_peaks	50148100	50148399	mapped	chr17	14330701	14331012	0.6521739130434783	-	[[14330994, 14331012], [14330987, 14330993], [14330943, 14330957], [14330926, 14330938], [14330896, 14330919], [14330827, 14330865], [14330821, 14330827], [14330789, 14330814], [14330738, 14330757], [14330719, 14330735], [14330701, 14330719]]	orthology annotation; tissue response remains rat evidence
InjuryDB_peaks	48582300	48582599	mapped	chr17	16255581	16255934	0.9933110367892977	+	[[16255581, 16255593], [16255594, 16255603], [16255603, 16255627], [16255644, 16255653], [16255675, 16255713], [16255713, 16255736], [16255739, 16255767], [16255770, 16255806], [16255807, 16255817], [16255823, 16255906], [16255907, 16255911], [16255913, 16255934]]	orthology annotation; tissue response remains rat evidence
ShamDB_peaks	49210300	49210599	unmapped						[]	orthology annotation; tissue response remains rat evidence
ShamDB_peaks	49096200	49096399	mapped	chr17	18819592	18819707	0.5778894472361809	+	[[18819592, 18819679], [18819679, 18819707]]	orthology annotation; tissue response remains rat evidence
ShamDB_peaks	49232100	49233099	mapped	chr17	15368088	15368657	0.5445445445445446	-	[[15368640, 15368657], [15368624, 15368635], [15368571, 15368624], [15368539, 15368569], [15368525, 15368539], [15368435, 15368522], [15368368, 15368431], [15368341, 15368363], [15368324, 15368341], [15368303, 15368321], [15368204, 15368303], [15368150, 15368204], [15368127, 15368150], [15368088, 15368124]]	orthology annotation; tissue response remains rat evidence
ShamDB_peaks	49149900	49151199	mapped	chr17	15462958	15464046	0.7143956889915319	-	[[15464040, 15464046], [15463996, 15464027], [15463955, 15463994], [15463930, 15463955], [15463914, 15463930], [15463888, 15463913], [15463850, 15463878], [15463833, 15463846], [15463806, 15463819], [15463783, 15463806], [15463773, 15463783], [15463748, 15463768], [15463722, 15463740], [15463707, 15463721], [15463702, 15463707], [15463691, 15463702], [15463649, 15463687], [15463626, 15463647], [15463609, 15463626], [15463602, 15463609], [15463527, 15463602], [15463513, 15463526], [15463498, 15463512], [15463463, 15463496], [15463446, 15463459], [15463380, 15463446], [15463369, 15463377], [15463349, 15463354], [15463317, 15463332], [15463295, 15463315], [15463273, 15463294], [15463223, 15463240], [15463207, 15463218], [15463171, 15463207], [15463157, 15463169], [15463126, 15463156], [15463121, 15463126], [15463081, 15463121], [15463068, 15463081], [15463027, 15463068], [15462982, 15463023], [15462958, 15462977]]	orthology annotation; tissue response remains rat evidence
ShamDB_peaks	49215000	49216299	mapped	chr17	15391131	15392993	0.9099307159353349	-	[[15392944, 15392993], [15392887, 15392942], [15392870, 15392885], [15392841, 15392863], [15392810, 15392834], [15392803, 15392810], [15392769, 15392803], [15392642, 15392764], [15392623, 15392641], [15392488, 15392621], [15392485, 15392488], [15392459, 15392485], [15392427, 15392444], [15392386, 15392422], [15392324, 15392386], [15392303, 15392317], [15392271, 15392302], [15392237, 15392252], [15392142, 15392192], [15392124, 15392140], [15392117, 15392124], [15392090, 15392111], [15392078, 15392090], [15391537, 15391574], [15391525, 15391535], [15391504, 15391513], [15391479, 15391498], [15391474, 15391479], [15391467, 15391474], [15391422, 15391467], [15391398, 15391420], [15391379, 15391398], [15391373, 15391379], [15391349, 15391368], [15391320, 15391348], [15391287, 15391319], [15391251, 15391281], [15391229, 15391246], [15391214, 15391220], [15391188, 15391214], [15391176, 15391188], [15391139, 15391176], [15391131, 15391138]]	orthology annotation; tissue response remains rat evidence
ShamDB_peaks	49206400	49206799	mapped	chr17	15406424	15406928	0.9573934837092731	-	[[15406926, 15406928], [15406916, 15406926], [15406888, 15406916], [15406879, 15406888], [15406871, 15406879], [15406848, 15406866], [15406829, 15406844], [15406793, 15406805], [15406679, 15406745], [15406629, 15406668], [15406619, 15406626], [15406579, 15406619], [15406508, 15406569], [15406497, 15406508], [15406445, 15406491], [15406424, 15406434]]	orthology annotation; tissue response remains rat evidence
ShamDB_peaks	49212900	49213799	unmapped						[]	orthology annotation; tissue response remains rat evidence
