bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
87	ENST00001116262.1	chr17	-	15176315	15263190	15177574	15260727	5	15176315,15239470,15259093,15260649,15262428,	15177702,15239611,15259193,15260761,15263190,	0	PMP22	cmpl	cmpl	1,1,0,0,-1,
87	ENST00001128569.1	chr17	-	15202583	15265360	15202747	15260727	4	15202583,15259093,15260649,15265153,	15202788,15259193,15260761,15265360,	0	PMP22	cmpl	cmpl	1,0,0,-1,
87	ENST00001128573.1	chr17	-	15202660	15262332	15202747	15260727	4	15202660,15239470,15259093,15260649,	15202788,15239611,15259193,15262332,	0	PMP22	cmpl	cmpl	1,1,0,0,
87	ENST00001128570.1	chr17	-	15202660	15263190	15214358	15260727	6	15202660,15214316,15239470,15259093,15260649,15262428,	15202788,15214393,15239611,15259193,15260761,15263190,	0	PMP22	cmpl	cmpl	-1,1,1,0,0,-1,
87	ENST00001128571.1	chr17	-	15202660	15263190	15202747	15260727	4	15202660,15259093,15260649,15262428,	15202788,15259193,15260761,15263190,	0	PMP22	cmpl	cmpl	1,0,0,-1,
87	ENST00001128572.1	chr17	-	15202660	15263190	15202747	15260727	5	15202660,15239470,15259093,15260649,15262428,	15202788,15239611,15259193,15260761,15263190,	0	PMP22	cmpl	cmpl	1,1,0,0,-1,
701	ENST00000674673.1	chr17	-	15229772	15263190	15230916	15260727	5	15229772,15239470,15259093,15260649,15262428,	15231080,15239611,15259193,15260761,15263190,	0	PMP22	cmpl	cmpl	1,1,0,0,-1,
701	ENST00001050674.1	chr17	-	15229777	15263190	15232542	15260727	5	15229777,15239470,15259093,15260649,15262428,	15232613,15239611,15259193,15260761,15263190,	0	PMP22	cmpl	cmpl	1,1,0,0,-1,
701	ENST00000676002.1	chr17	-	15229778	15231922	15229778	15229778	2	15229778,15231610,	15231080,15231922,	0	PMP22	none	none	-1,-1,
701	ENST00000953635.2	chr17	-	15229778	15261368	15230916	15260727	5	15229778,15239470,15259093,15260649,15261237,	15231080,15239611,15259193,15260983,15261368,	0	PMP22	cmpl	cmpl	1,1,0,0,-1,
701	ENST00000901374.1	chr17	-	15229778	15261679	15230916	15260727	5	15229778,15239470,15259093,15260649,15261603,	15231080,15239611,15259193,15260761,15261679,	0	PMP22	cmpl	cmpl	1,1,0,0,-1,
701	ENST00000675551.2	chr17	-	15229778	15262332	15231068	15260727	5	15229778,15233188,15239470,15259093,15260649,	15231080,15233355,15239611,15259193,15262332,	0	PMP22	cmpl	cmpl	0,1,1,0,0,
701	ENST00000676329.2	chr17	-	15229778	15262332	15230916	15260727	5	15229778,15239470,15253452,15259093,15260649,	15231080,15239611,15253554,15259193,15262332,	0	PMP22	cmpl	cmpl	1,1,1,0,0,
701	ENST00000901373.1	chr17	-	15229778	15262332	15230916	15260727	4	15229778,15239470,15259093,15260649,	15231080,15239611,15259193,15262332,	0	PMP22	cmpl	cmpl	1,1,0,0,
701	ENST00000643451.2	chr17	-	15229778	15262544	15232542	15260727	6	15229778,15232368,15239470,15259093,15260649,15262428,	15231080,15232613,15239611,15259193,15260761,15262544,	0	PMP22	cmpl	cmpl	-1,1,1,0,0,-1,
701	ENST00000675854.1	chr17	-	15229778	15262552	15230916	15239585	4	15229778,15239470,15259093,15262428,	15231080,15239611,15259193,15262552,	0	PMP22	cmpl	cmpl	1,0,-1,-1,
701	ENST00000675819.2	chr17	-	15229778	15262571	15230916	15260727	5	15229778,15239470,15259093,15260649,15262424,	15231080,15239611,15259193,15260761,15262571,	0	PMP22	cmpl	cmpl	1,1,0,0,-1,
701	ENST00000901370.2	chr17	-	15229778	15262571	15230916	15260727	5	15229778,15239470,15259093,15260649,15262424,	15231080,15239611,15259193,15260757,15262571,	0	PMP22	cmpl	cmpl	1,1,0,0,-1,
701	ENST00000395938.8	chr17	-	15229778	15263190	15230734	15260727	5	15229778,15239470,15259093,15260649,15262428,	15231080,15239600,15259193,15260761,15263190,	0	PMP22	cmpl	cmpl	2,1,0,0,-1,
701	ENST00000612492.6	chr17	-	15229778	15263190	15230916	15260727	5	15229778,15239470,15259093,15260649,15262428,	15231080,15239611,15259193,15260757,15263190,	0	PMP22	cmpl	cmpl	1,1,0,0,-1,
701	ENST00000901369.1	chr17	-	15229778	15263215	15230916	15260727	5	15229778,15239470,15259093,15260649,15263104,	15231080,15239611,15259193,15260761,15263215,	0	PMP22	cmpl	cmpl	1,1,0,0,-1,
701	ENST00000312280.9	chr17	-	15229778	15265326	15230916	15260727	5	15229778,15239470,15259093,15260649,15265153,	15231080,15239611,15259193,15260761,15265326,	0	PMP22	cmpl	cmpl	1,1,0,0,-1,
701	ENST00000494511.7	chr17	-	15229778	15265326	15230916	15239585	3	15229778,15239470,15265153,	15231080,15239611,15265326,	0	PMP22	cmpl	cmpl	1,0,-1,
701	ENST00000580584.3	chr17	-	15229778	15265326	15230916	15239585	4	15229778,15239470,15259093,15265153,	15231080,15239611,15259193,15265326,	0	PMP22	cmpl	cmpl	1,0,-1,-1,
701	ENST00001007918.1	chr17	-	15229778	15265360	15232412	15260727	6	15229778,15232368,15239470,15259093,15260649,15265153,	15231080,15232456,15239611,15259193,15260761,15265360,	0	PMP22	cmpl	cmpl	-1,1,1,0,0,-1,
701	ENST00001134576.1	chr17	-	15229778	15265360	15230916	15260727	5	15229778,15239470,15259093,15260649,15265153,	15231080,15239611,15259193,15260761,15265360,	0	PMP22	cmpl	cmpl	1,1,0,0,-1,
701	ENST00000901371.2	chr17	-	15229779	15263190	15230916	15260727	4	15229779,15259093,15260649,15262428,	15231080,15259193,15260761,15263190,	0	PMP22	cmpl	cmpl	1,0,0,-1,
701	ENST00000953633.2	chr17	-	15229779	15263190	15230916	15260727	5	15229779,15239470,15259093,15260649,15262428,	15231080,15239611,15259193,15260997,15263190,	0	PMP22	cmpl	cmpl	1,1,0,0,-1,
