experiment	file	target	chrom	start	end	output_type
ENCSR771YJT	ENCFF703WKZ	H3K27ac	chr17	15180876	15181468	pseudoreplicated peaks
ENCSR771YJT	ENCFF703WKZ	H3K27ac	chr17	15181604	15182042	pseudoreplicated peaks
ENCSR771YJT	ENCFF703WKZ	H3K27ac	chr17	15220445	15221142	pseudoreplicated peaks
ENCSR771YJT	ENCFF703WKZ	H3K27ac	chr17	15230501	15232706	pseudoreplicated peaks
ENCSR771YJT	ENCFF703WKZ	H3K27ac	chr17	15232820	15235340	pseudoreplicated peaks
ENCSR771YJT	ENCFF703WKZ	H3K27ac	chr17	15239170	15239831	pseudoreplicated peaks
ENCSR771YJT	ENCFF703WKZ	H3K27ac	chr17	15240900	15241344	pseudoreplicated peaks
ENCSR771YJT	ENCFF703WKZ	H3K27ac	chr17	15244543	15245978	pseudoreplicated peaks
ENCSR771YJT	ENCFF703WKZ	H3K27ac	chr17	15247227	15273130	pseudoreplicated peaks
ENCSR771YJT	ENCFF703WKZ	H3K27ac	chr17	15273220	15274111	pseudoreplicated peaks
ENCSR771YJT	ENCFF703WKZ	H3K27ac	chr17	15277282	15277576	pseudoreplicated peaks
ENCSR771YJT	ENCFF703WKZ	H3K27ac	chr17	15278177	15279712	pseudoreplicated peaks
ENCSR771YJT	ENCFF703WKZ	H3K27ac	chr17	15287736	15288276	pseudoreplicated peaks
ENCSR771YJT	ENCFF703WKZ	H3K27ac	chr17	15305243	15307403	pseudoreplicated peaks
ENCSR771YJT	ENCFF703WKZ	H3K27ac	chr17	15340972	15341643	pseudoreplicated peaks
ENCSR771YJT	ENCFF703WKZ	H3K27ac	chr17	15350232	15352565	pseudoreplicated peaks
ENCSR771YJT	ENCFF703WKZ	H3K27ac	chr17	15364309	15364784	pseudoreplicated peaks
ENCSR771YJT	ENCFF703WKZ	H3K27ac	chr17	15373942	15374315	pseudoreplicated peaks
ENCSR771YJT	ENCFF703WKZ	H3K27ac	chr17	15374483	15376326	pseudoreplicated peaks
ENCSR771YJT	ENCFF703WKZ	H3K27ac	chr17	15376419	15379539	pseudoreplicated peaks
ENCSR771YJT	ENCFF703WKZ	H3K27ac	chr17	15379701	15380857	pseudoreplicated peaks
ENCSR771YJT	ENCFF703WKZ	H3K27ac	chr17	15380953	15381303	pseudoreplicated peaks
ENCSR771YJT	ENCFF703WKZ	H3K27ac	chr17	15381912	15382316	pseudoreplicated peaks
ENCSR771YJT	ENCFF703WKZ	H3K27ac	chr17	15382589	15382948	pseudoreplicated peaks
ENCSR771YJT	ENCFF703WKZ	H3K27ac	chr17	15383089	15385050	pseudoreplicated peaks
ENCSR771YJT	ENCFF703WKZ	H3K27ac	chr17	15388099	15389540	pseudoreplicated peaks
ENCSR771YJT	ENCFF703WKZ	H3K27ac	chr17	15390251	15390549	pseudoreplicated peaks
ENCSR771YJT	ENCFF703WKZ	H3K27ac	chr17	15392301	15392604	pseudoreplicated peaks
ENCSR771YJT	ENCFF703WKZ	H3K27ac	chr17	15398551	15399847	pseudoreplicated peaks
ENCSR771YJT	ENCFF703WKZ	H3K27ac	chr17	15402591	15407584	pseudoreplicated peaks
ENCSR771YJT	ENCFF703WKZ	H3K27ac	chr17	15408219	15415421	pseudoreplicated peaks
ENCSR771YJT	ENCFF703WKZ	H3K27ac	chr17	15417490	15419722	pseudoreplicated peaks
ENCSR771YJT	ENCFF703WKZ	H3K27ac	chr17	15432927	15433362	pseudoreplicated peaks
ENCSR771YJT	ENCFF703WKZ	H3K27ac	chr17	15433779	15435270	pseudoreplicated peaks
ENCSR771YJT	ENCFF703WKZ	H3K27ac	chr17	15435871	15437356	pseudoreplicated peaks
ENCSR771YJT	ENCFF703WKZ	H3K27ac	chr17	15441052	15441773	pseudoreplicated peaks
ENCSR771YJT	ENCFF703WKZ	H3K27ac	chr17	15441911	15444168	pseudoreplicated peaks
ENCSR771YJT	ENCFF703WKZ	H3K27ac	chr17	15447555	15449278	pseudoreplicated peaks
ENCSR771YJT	ENCFF703WKZ	H3K27ac	chr17	15450767	15451123	pseudoreplicated peaks
ENCSR771YJT	ENCFF703WKZ	H3K27ac	chr17	15451246	15462336	pseudoreplicated peaks
ENCSR771YJT	ENCFF703WKZ	H3K27ac	chr17	15462502	15465034	pseudoreplicated peaks
ENCSR771YJT	ENCFF703WKZ	H3K27ac	chr17	15472788	15473378	pseudoreplicated peaks
ENCSR771YJT	ENCFF703WKZ	H3K27ac	chr17	15473588	15474511	pseudoreplicated peaks
