region_id	rat_track	source_interval_id	chain_id	mapped_fraction	aligned_overlap_bp	accepted	exclusion_reason
PMP22_DISTAL	ShamDB_peaks	rn5:chr10:49215000-49216299	43	0.9099307159353349	1182	True	
PMP22_DISTAL	ShamDB_peaks	rn5:chr10:49206400-49206799	43	0.9573934837092731	382	True	
PMP22_DISTAL	ShamDB_peaks	rn5:chr10:49212900-49213799	43	0.3882091212458287	349	False	below_50pct_source_span
PMP22_P2_REPORTER	ShamDB_peaks	rn5:chr10:49312400-49320399	43	0.8886110763845481	424	True	
PMP22_P1	ShamDB_peaks	rn5:chr10:49312400-49320399	43	0.8886110763845481	198	True	
PMP22_P2	ShamDB_peaks	rn5:chr10:49312400-49320399	43	0.8886110763845481	713	True	
PMP22_DISTAL	ShamDB_peaks	rn5:chr10:49207400-49209099	43	0.9258387286639199	1573	True	
PMP22_DISTAL	ShamDB_peaks	rn5:chr10:49225300-49225999	43	0.9785407725321889	684	True	
PMP22_DISTAL	ShamDB_peaks	rn5:chr10:49214100-49214499	43	0.9348370927318296	373	True	
PMP22_DISTAL	ShamDB_peaks	rn5:chr10:49222000-49222399	43	0.38095238095238093	152	False	below_50pct_source_span
PMP22_DISTAL	ShamDB_peaks	rn5:chr10:49216500-49218099	43	0.9749843652282677	1559	True	
PMP22_P1	peaks_Injury	rn5:chr10:49317100-49317499	43	0.9874686716791979	67	True	
PMP22_INTRONIC_TRANSGENE	peaks_Injury	rn5:chr10:49331700-49331999	43	0.46153846153846156	138	False	below_50pct_source_span
PMP22_DISTAL_A	peaks_Injury	rn5:chr10:49201400-49201599	43	0.8743718592964824	107	True	
PMP22_DISTAL	peaks_Injury	rn5:chr10:49201400-49201599	43	0.8743718592964824	107	True	
PMP22_P2_REPORTER	peaks_Injury	rn5:chr10:49318300-49320299	43	0.9444722361180591	424	True	
PMP22_P2	peaks_Injury	rn5:chr10:49318300-49320299	43	0.9444722361180591	713	True	
PMP22_INTRONIC_TRANSGENE	peaks_Injury	rn5:chr10:49332800-49333199	43	0.949874686716792	149	True	
PMP22_DISTAL_C	peaks_Sham	rn5:chr10:49229600-49231099	43	0.5863909272848565	63	True	
PMP22_DISTAL	peaks_Sham	rn5:chr10:49229600-49231099	43	0.5863909272848565	63	True	
PMP22_DISTAL	peaks_Sham	rn5:chr10:49226400-49226699	43	0.24749163879598662	74	False	below_50pct_source_span
PMP22_INTRONIC_TRANSGENE	peaks_Sham	rn5:chr10:49332500-49333099	43	0.8881469115191987	398	True	
PMP22_DISTAL	peaks_Sham	rn5:chr10:49209500-49209699	43	0.49246231155778897	98	False	below_50pct_source_span
PMP22_DISTAL	peaks_Sham	rn5:chr10:49215000-49216299	43	0.9099307159353349	1182	True	
PMP22_DISTAL	peaks_Sham	rn5:chr10:49206400-49206799	43	0.9573934837092731	382	True	
PMP22_DISTAL	peaks_Sham	rn5:chr10:49212900-49213799	43	0.3882091212458287	349	False	below_50pct_source_span
PMP22_P2_REPORTER	peaks_Sham	rn5:chr10:49312400-49320399	43	0.8886110763845481	424	True	
PMP22_P1	peaks_Sham	rn5:chr10:49312400-49320399	43	0.8886110763845481	198	True	
PMP22_P2	peaks_Sham	rn5:chr10:49312400-49320399	43	0.8886110763845481	713	True	
PMP22_DISTAL	peaks_Sham	rn5:chr10:49207400-49209099	43	0.9258387286639199	1573	True	
PMP22_DISTAL_A	peaks_Sham	rn5:chr10:49201300-49202599	43	0.850654349499615	288	True	
PMP22_DISTAL	peaks_Sham	rn5:chr10:49201300-49202599	43	0.850654349499615	1038	True	
PMP22_DISTAL	peaks_Sham	rn5:chr10:49205200-49205799	43	0.2654424040066778	159	False	below_50pct_source_span
PMP22_INTRONIC_TRANSGENE	peaks_Sham	rn5:chr10:49331100-49332099	43	0.5725725725725725	359	True	
PMP22_DISTAL	peaks_Sham	rn5:chr10:49225300-49225999	43	0.9785407725321889	684	True	
PMP22_DISTAL_C	peaks_Sham	rn5:chr10:49226900-49229399	43	0.633453381352541	127	True	
PMP22_DISTAL	peaks_Sham	rn5:chr10:49226900-49229399	43	0.633453381352541	1583	True	
PMP22_DISTAL	peaks_Sham	rn5:chr10:49214100-49214499	43	0.9348370927318296	373	True	
PMP22_DISTAL	peaks_Sham	rn5:chr10:49222000-49222399	43	0.38095238095238093	152	False	below_50pct_source_span
PMP22_DISTAL	peaks_Sham	rn5:chr10:49216500-49218099	43	0.9749843652282677	1559	True	
