chrom	start	end	name	signal	source
chr17	15171733	15172082	Peak_52889	4.29448	ENCFF632FMT
chr17	15181352	15181905	Peak_80814	3.64742	ENCFF632FMT
chr17	15231748	15232293	Peak_13013	7.92683	ENCFF632FMT
chr17	15247889	15248356	Peak_17321	7.22022	ENCFF632FMT
chr17	15257446	15257687	Peak_25602	4.55959	ENCFF632FMT
chr17	15260696	15261032	Peak_7769	6.97013	ENCFF632FMT
chr17	15262435	15263044	Peak_49805	2.92479	ENCFF632FMT
chr17	15341409	15341838	Peak_3960	15.26718	ENCFF632FMT
chr17	15377223	15377978	Peak_37674	4.49827	ENCFF632FMT
chr17	15389805	15390010	Peak_44013	4.57143	ENCFF632FMT
chr17	15406019	15406537	Peak_24553	5.26316	ENCFF632FMT
chr17	15409700	15410094	Peak_15541	6.81199	ENCFF632FMT
chr17	15414984	15415378	Peak_11242	8.65533	ENCFF632FMT
chr17	15418813	15419023	Peak_37301	4.54545	ENCFF632FMT
chr17	15430941	15431202	Peak_71101	3.81862	ENCFF632FMT
chr17	15436513	15436794	Peak_76537	3.74332	ENCFF632FMT
chr17	15442830	15443143	Peak_33539	5.43478	ENCFF632FMT
chr17	15464836	15465240	Peak_119233	3.13901	ENCFF632FMT
chr17	15475808	15476050	Peak_87153	3.42857	ENCFF632FMT
chr17	15490619	15491033	Peak_51679	4.31267	ENCFF632FMT
