region_id	element_class	assembly	interval	orthology_status	evidence_status	effect_id	outcome	evidence_layer	source_id	species	value	unit	tested_interval	limitation	evidence_family_id	source_interval_ids	donor_ids	support_status
PMP22_INTRONIC	intronic_enhancer	GRCh38	chr17:15247916-15248159	human_reference_remapped_reporter_evidence	measured	AE011	EGR2_fold_induction_reduction	reporter	JONES2011	human insert in mouse cells	50	percent_reduction_in_fold_induction_approximate	hg18 +11 kb reporter; see mapping_audit.tsv	Each construct has its own baseline denominator; not a 50% reduction in induced output or native RNA; site 2 had the largest induction effect	JONES2011			typed_assay_or_reference_record
PMP22_INTRONIC	intronic_enhancer	GRCh38	chr17:15247916-15248159	human_reference_remapped_reporter_evidence	measured	AE012	EGR2 fold induction relatively unimpaired	reporter	JONES2011	human insert in mouse cells		not_numerically_extracted	same +11 kb reporter	Retained negative mutation	JONES2011			typed_assay_or_reference_record
PMP22_INTRONIC	intronic_enhancer	GRCh38	chr17:15247916-15248159	human_reference_remapped_reporter_evidence	measured	AE013	EGR2 fold induction relatively unimpaired	reporter	JONES2011	human insert in mouse cells		not_numerically_extracted	same +11 kb reporter	Retained negative mutation	JONES2011			typed_assay_or_reference_record
PMP22_INTRONIC_TRANSGENE	intronic_transgene	GRCh38	chr17:15246922-15248569	human_reference_remapped_reporter_evidence	measured			missing	JONES2011	human reference annotation			annotated reference interval	Annotation is not a measured regulatory effect	JONES2011			typed_assay_or_reference_record
PMP22_P2_REPORTER	promoter_reporter	GRCh38	chr17:15262455-15262891	human_reference_remapped_reporter_evidence	measured			missing	JONES2011	human reference annotation			annotated reference interval	Annotation is not a measured regulatory effect	JONES2011			typed_assay_or_reference_record
PMP22_DISTAL_A	distal_enhancer	GRCh38	chr17:15409812-15410108	human_reference_remapped_reporter_evidence	measured	AE001	luciferase_activity_reduction	reporter	JONES2012	human insert in rat cells	85	percent_reduction_approximate	historical human reporter; see mapping_audit.tsv	Not native human RNA; C text estimate retained separately from visually approximate bar; no digitization	JONES2012			typed_assay_or_reference_record
PMP22_DISTAL_A	distal_enhancer	GRCh38	chr17:15409812-15410108	human_reference_remapped_reporter_evidence	measured	AE008	embryos_with_motor_nerve_EGFP	in_vivo_reporter	JONES2012	human insert in zebrafish	73	positive_embryos	same historical reporter	Counts measure reporter localization; not treatment-control expression or population replication	JONES2012			typed_assay_or_reference_record
PMP22_DISTAL_B	distal_enhancer	GRCh38	chr17:15405970-15406367	human_reference_remapped_reporter_evidence	measured	AE002	luciferase_activity_reduction	reporter	JONES2012	human insert in rat cells	45	percent_reduction_approximate	historical human reporter; see mapping_audit.tsv	Not native human RNA; C text estimate retained separately from visually approximate bar; no digitization	JONES2012			typed_assay_or_reference_record
PMP22_DISTAL_B	distal_enhancer	GRCh38	chr17:15405970-15406367	human_reference_remapped_reporter_evidence	measured	AE004	no significant reduction reported	reporter	JONES2012	human insert in rat cells		not_numerically_extracted	same historical reporter	Retained negative mutation; blank is not zero	JONES2012			typed_assay_or_reference_record
PMP22_DISTAL_B	distal_enhancer	GRCh38	chr17:15405970-15406367	human_reference_remapped_reporter_evidence	measured	AE005	no significant reduction reported	reporter	JONES2012	human insert in rat cells		not_numerically_extracted	same historical reporter	Retained negative mutation; blank is not zero	JONES2012			typed_assay_or_reference_record
PMP22_DISTAL_B	distal_enhancer	GRCh38	chr17:15405970-15406367	human_reference_remapped_reporter_evidence	measured	AE009	embryos_with_motor_nerve_EGFP	in_vivo_reporter	JONES2012	human insert in zebrafish	91	positive_embryos	same historical reporter	Counts measure reporter localization; not treatment-control expression or population replication	JONES2012			typed_assay_or_reference_record
PMP22_DISTAL_C	distal_enhancer	GRCh38	chr17:15377645-15378054	human_reference_remapped_reporter_evidence	measured	AE003	luciferase_activity_reduction	reporter	JONES2012	human insert in rat cells	65	percent_reduction_approximate	historical human reporter; see mapping_audit.tsv	Not native human RNA; C text estimate retained separately from visually approximate bar; no digitization	JONES2012			typed_assay_or_reference_record
PMP22_DISTAL_C	distal_enhancer	GRCh38	chr17:15377645-15378054	human_reference_remapped_reporter_evidence	measured	AE006	no significant reduction reported	reporter	JONES2012	human insert in rat cells		not_numerically_extracted	same historical reporter	Retained negative mutation; blank is not zero	JONES2012			typed_assay_or_reference_record
PMP22_DISTAL_C	distal_enhancer	GRCh38	chr17:15377645-15378054	human_reference_remapped_reporter_evidence	measured	AE007	no significant reduction reported	reporter	JONES2012	human insert in rat cells		not_numerically_extracted	same historical reporter	Retained negative mutation; blank is not zero	JONES2012			typed_assay_or_reference_record
PMP22_DISTAL_C	distal_enhancer	GRCh38	chr17:15377645-15378054	human_reference_remapped_reporter_evidence	measured	AE010	embryos_with_motor_nerve_EGFP	in_vivo_reporter	JONES2012	human insert in zebrafish	79	positive_embryos	same historical reporter	Counts measure reporter localization; not treatment-control expression or population replication	JONES2012			typed_assay_or_reference_record
PMP22_P1	promoter_first_exon	GRCh38	chr17:15265153-15265360	annotated_human_first_exon_family	measured			missing	GENCODE_R50	human reference annotation			annotated reference interval	Annotation is not a measured regulatory effect	GENCODE_R50			typed_assay_or_reference_record
PMP22_P2	promoter_first_exon	GRCh38	chr17:15262428-15263190	annotated_human_first_exon_family	measured			missing	GENCODE_R50	human reference annotation			annotated reference interval	Annotation is not a measured regulatory effect	GENCODE_R50			typed_assay_or_reference_record
PMP22_DISTAL	distal_cluster_envelope	GRCh38	chr17:15377645-15410108	envelope_of_human_reporter_intervals_not_a_tested_human_deletion	proposed	AE014	WT_allele_Pmp22_RNA	native_RNA	PANTERA2018	rat	0.5	fold_of_control_approximate	approximately 38 kb rat SE deletion; clone-specific junctions require supplement	Two WT alleles deleted; reporter allele intact. Mpz normalization supports direction. Human envelope is only a region-class link	PANTERA2018			typed_assay_or_reference_record
PMP22_DISTAL	distal_cluster_envelope	GRCh38	chr17:15377645-15410108	envelope_of_human_reporter_intervals_not_a_tested_human_deletion	proposed	AE015	reporter_allele_Pmp22_RNA_unchanged	native_RNA	PANTERA2018	rat		not_numerically_extracted	reporter allele retains SE	Internal allelic control, not independent validation	PANTERA2018			typed_assay_or_reference_record
PMP22_DISTAL	distal_cluster_envelope	GRCh38	chr17:15377645-15410108	envelope_of_human_reporter_intervals_not_a_tested_human_deletion	proposed	AE016	WT_allele_RNA	native_RNA	PANTERA2018	rat	0.75	fold_of_control_approximate	alternative rat SE deletion; junctions in supplement	Configuration-specific support, not a calibrated gene-dosage curve	PANTERA2018			typed_assay_or_reference_record
PMP22_DISTAL	distal_cluster_envelope	GRCh38	chr17:15377645-15410108	envelope_of_human_reporter_intervals_not_a_tested_human_deletion	proposed	AE017	reporter_allele_RNA	native_RNA	PANTERA2018	rat	0.5	fold_of_control_approximate	alternative rat SE deletion; junctions in supplement	Configuration-specific support, not a calibrated gene-dosage curve	PANTERA2018			typed_assay_or_reference_record
PMP22_DISTAL	distal_cluster_envelope	GRCh38	chr17:15377645-15410108	envelope_of_human_reporter_intervals_not_a_tested_human_deletion	proposed	AE018	total RNA not significantly changed; homozygous P1 reduced	native_RNA	PANTERA2020	mouse		direction_only	mm10 chr11:63001867-63042405; see mouse_se_orthology.tsv	Age-specific native mouse deletion; no human fold-change inferred; Mag/Mpz unchanged and Tvp23b increased at P0	PANTERA2020			typed_assay_or_reference_record
PMP22_DISTAL	distal_cluster_envelope	GRCh38	chr17:15377645-15410108	envelope_of_human_reporter_intervals_not_a_tested_human_deletion	proposed	AE019	total RNA reduced in both deletion genotypes	native_RNA	PANTERA2020	mouse		direction_only	mm10 chr11:63001867-63042405; see mouse_se_orthology.tsv	Age-specific native mouse deletion; no human fold-change inferred; Mag/Mpz unchanged and Tvp23b increased at P0	PANTERA2020			typed_assay_or_reference_record
PMP22_DISTAL	distal_cluster_envelope	GRCh38	chr17:15377645-15410108	envelope_of_human_reporter_intervals_not_a_tested_human_deletion	proposed	AE020	total RNA reduced in both deletion genotypes	native_RNA	PANTERA2020	mouse		direction_only	mm10 chr11:63001867-63042405; see mouse_se_orthology.tsv	Age-specific native mouse deletion; no human fold-change inferred; Mag/Mpz unchanged and Tvp23b increased at P0	PANTERA2020			typed_assay_or_reference_record
PMP22_DISTAL	distal_cluster_envelope	GRCh38	chr17:15377645-15410108	envelope_of_human_reporter_intervals_not_a_tested_human_deletion	proposed	AE021	PMP22 protein reduced	protein	PANTERA2020	mouse		direction_only	same mouse SE deletion	Separate endpoint from RNA; no human protein estimate	PANTERA2020			typed_assay_or_reference_record
PMP22_DISTAL	distal_cluster_envelope	GRCh38	chr17:15377645-15410108	envelope_of_human_reporter_intervals_not_a_tested_human_deletion	proposed	AE022	shorter time to 60 percent conduction block	function	PANTERA2020	mouse		direction_only	same mouse SE deletion	60 percent is a challenge endpoint, not treatment efficacy; deletion creates vulnerability, not activation rescue	PANTERA2020			typed_assay_or_reference_record
PMP22_INTRONIC	intronic_enhancer	GRCh38	chr17:15247916-15248159	human_reference_remapped_reporter_evidence	measured		interval overlap or promoter initiation	accessibility	ENCFF602YVR	human pooled Schwann	1	unique peak intervals	observational reference overlap	Threshold-specific observation from same two-donor pool; not a causal expression effect	ENCSR301DUJ	ENCFF602YVR:chr17:15247889-15248356	ENCDO271OUW;ENCDO793LXB	observed_peak_overlap
PMP22_INTRONIC	intronic_enhancer	GRCh38	chr17:15247916-15248159	human_reference_remapped_reporter_evidence	measured		interval overlap or promoter initiation	accessibility	ENCFF632FMT	human pooled Schwann	1	unique peak intervals	observational reference overlap	Threshold-specific observation from same two-donor pool; not a causal expression effect	ENCSR301DUJ	ENCFF632FMT:chr17:15247889-15248356	ENCDO271OUW;ENCDO793LXB	observed_peak_overlap
PMP22_INTRONIC	intronic_enhancer	GRCh38	chr17:15247916-15248159	human_reference_remapped_reporter_evidence	measured		interval overlap or promoter initiation	conservation	UCSC phastCons100way	human reference / multispecies alignment	0.2179	mean phastCons over covered bases	observational reference overlap	Conservation does not establish enhancer activity	UCSC phastCons100way			typed_assay_or_reference_record
PMP22_INTRONIC_TRANSGENE	intronic_transgene	GRCh38	chr17:15246922-15248569	human_reference_remapped_reporter_evidence	measured		interval overlap or promoter initiation	accessibility	ENCFF602YVR	human pooled Schwann	1	unique peak intervals	observational reference overlap	Threshold-specific observation from same two-donor pool; not a causal expression effect	ENCSR301DUJ	ENCFF602YVR:chr17:15247889-15248356	ENCDO271OUW;ENCDO793LXB	observed_peak_overlap
PMP22_INTRONIC_TRANSGENE	intronic_transgene	GRCh38	chr17:15246922-15248569	human_reference_remapped_reporter_evidence	measured		interval overlap or promoter initiation	accessibility	ENCFF632FMT	human pooled Schwann	1	unique peak intervals	observational reference overlap	Threshold-specific observation from same two-donor pool; not a causal expression effect	ENCSR301DUJ	ENCFF632FMT:chr17:15247889-15248356	ENCDO271OUW;ENCDO793LXB	observed_peak_overlap
PMP22_INTRONIC_TRANSGENE	intronic_transgene	GRCh38	chr17:15246922-15248569	human_reference_remapped_reporter_evidence	measured		interval overlap or promoter initiation	conservation	UCSC phastCons100way	human reference / multispecies alignment	0.0819	mean phastCons over covered bases	observational reference overlap	Conservation does not establish enhancer activity	UCSC phastCons100way			typed_assay_or_reference_record
PMP22_P2_REPORTER	promoter_reporter	GRCh38	chr17:15262455-15262891	human_reference_remapped_reporter_evidence	measured		interval overlap or promoter initiation	accessibility	ENCFF602YVR	human pooled Schwann	1	unique peak intervals	observational reference overlap	Threshold-specific observation from same two-donor pool; not a causal expression effect	ENCSR301DUJ	ENCFF602YVR:chr17:15262435-15263044	ENCDO271OUW;ENCDO793LXB	observed_peak_overlap
PMP22_P2_REPORTER	promoter_reporter	GRCh38	chr17:15262455-15262891	human_reference_remapped_reporter_evidence	measured		interval overlap or promoter initiation	accessibility	ENCFF632FMT	human pooled Schwann	1	unique peak intervals	observational reference overlap	Threshold-specific observation from same two-donor pool; not a causal expression effect	ENCSR301DUJ	ENCFF632FMT:chr17:15262435-15263044	ENCDO271OUW;ENCDO793LXB	observed_peak_overlap
PMP22_P2_REPORTER	promoter_reporter	GRCh38	chr17:15262455-15262891	human_reference_remapped_reporter_evidence	measured		interval overlap or promoter initiation	conservation	UCSC phastCons100way	human reference / multispecies alignment	0.3994	mean phastCons over covered bases	observational reference overlap	Conservation does not establish enhancer activity	UCSC phastCons100way			typed_assay_or_reference_record
