donor	chrom	start	end	strand	tags
CNhs12073	chr17	15171569	15171570	+	1.0
CNhs12073	chr17	15230407	15230408	+	1.0
CNhs12073	chr17	15230773	15230774	+	1.0
CNhs12073	chr17	15257062	15257063	+	1.0
CNhs12073	chr17	15260957	15260958	+	1.0
CNhs12073	chr17	15260985	15260986	+	1.0
CNhs12073	chr17	15262454	15262455	+	1.0
CNhs12073	chr17	15262694	15262695	+	1.0
CNhs12073	chr17	15341913	15341914	+	1.0
CNhs12073	chr17	15409788	15409789	+	1.0
CNhs12073	chr17	15425734	15425735	+	1.0
CNhs12073	chr17	15502458	15502459	+	1.0
CNhs12073	chr17	15122311	15122312	-	1.0
CNhs12073	chr17	15140610	15140611	-	1.0
CNhs12073	chr17	15189806	15189807	-	1.0
CNhs12073	chr17	15230234	15230235	-	1.0
CNhs12073	chr17	15230380	15230381	-	1.0
CNhs12073	chr17	15230502	15230503	-	1.0
CNhs12073	chr17	15230515	15230516	-	1.0
CNhs12073	chr17	15230564	15230565	-	1.0
CNhs12073	chr17	15230575	15230576	-	1.0
CNhs12073	chr17	15230772	15230773	-	1.0
CNhs12073	chr17	15230776	15230777	-	4.0
CNhs12073	chr17	15230777	15230778	-	1.0
CNhs12073	chr17	15230780	15230781	-	1.0
CNhs12073	chr17	15230794	15230795	-	1.0
CNhs12073	chr17	15231046	15231047	-	1.0
CNhs12073	chr17	15231072	15231073	-	1.0
CNhs12073	chr17	15239508	15239509	-	3.0
CNhs12073	chr17	15239509	15239510	-	1.0
CNhs12073	chr17	15239525	15239526	-	1.0
CNhs12073	chr17	15239537	15239538	-	1.0
CNhs12073	chr17	15259154	15259155	-	1.0
CNhs12073	chr17	15259177	15259178	-	1.0
CNhs12073	chr17	15260710	15260711	-	1.0
CNhs12073	chr17	15260762	15260763	-	1.0
CNhs12073	chr17	15260776	15260777	-	1.0
CNhs12073	chr17	15260785	15260786	-	1.0
CNhs12073	chr17	15260793	15260794	-	1.0
CNhs12073	chr17	15260794	15260795	-	1.0
CNhs12073	chr17	15260796	15260797	-	1.0
CNhs12073	chr17	15260798	15260799	-	2.0
CNhs12073	chr17	15260799	15260800	-	1.0
CNhs12073	chr17	15260800	15260801	-	2.0
CNhs12073	chr17	15260806	15260807	-	1.0
CNhs12073	chr17	15260813	15260814	-	1.0
CNhs12073	chr17	15260814	15260815	-	3.0
CNhs12073	chr17	15260815	15260816	-	2.0
CNhs12073	chr17	15260817	15260818	-	4.0
CNhs12073	chr17	15260819	15260820	-	3.0
CNhs12073	chr17	15260820	15260821	-	1.0
CNhs12073	chr17	15260821	15260822	-	5.0
CNhs12073	chr17	15260822	15260823	-	1.0
CNhs12073	chr17	15260841	15260842	-	1.0
CNhs12073	chr17	15260842	15260843	-	1.0
CNhs12073	chr17	15260850	15260851	-	1.0
