track	assembly	chrom	start	end	value
InjuryDB_peaks	rn5	chr10	48680900	48681199	Cut_DB
InjuryDB_peaks	rn5	chr10	50148100	50148399	Cut_DB
InjuryDB_peaks	rn5	chr10	48582300	48582599	Cut_DB
ShamDB_peaks	rn5	chr10	49210300	49210599	Sham_DB
ShamDB_peaks	rn5	chr10	49096200	49096399	Sham_DB
ShamDB_peaks	rn5	chr10	49232100	49233099	Sham_DB
ShamDB_peaks	rn5	chr10	49149900	49151199	Sham_DB
ShamDB_peaks	rn5	chr10	49215000	49216299	Sham_DB
ShamDB_peaks	rn5	chr10	49206400	49206799	Sham_DB
ShamDB_peaks	rn5	chr10	49212900	49213799	Sham_DB
ShamDB_peaks	rn5	chr10	49102600	49102999	Sham_DB
ShamDB_peaks	rn5	chr10	49104400	49104699	Sham_DB
ShamDB_peaks	rn5	chr10	49312400	49320399	Sham_DB
ShamDB_peaks	rn5	chr10	49207400	49209099	Sham_DB
ShamDB_peaks	rn5	chr10	48751800	48752099	Sham_DB
ShamDB_peaks	rn5	chr10	48953600	48953799	Sham_DB
ShamDB_peaks	rn5	chr10	49161600	49162099	Sham_DB
ShamDB_peaks	rn5	chr10	49106200	49106499	Sham_DB
ShamDB_peaks	rn5	chr10	49311200	49311599	Sham_DB
ShamDB_peaks	rn5	chr10	49186000	49186199	Sham_DB
ShamDB_peaks	rn5	chr10	49198300	49198499	Sham_DB
ShamDB_peaks	rn5	chr10	49109500	49109699	Sham_DB
ShamDB_peaks	rn5	chr10	49225300	49225999	Sham_DB
ShamDB_peaks	rn5	chr10	49214100	49214499	Sham_DB
ShamDB_peaks	rn5	chr10	49222000	49222399	Sham_DB
ShamDB_peaks	rn5	chr10	49310400	49310699	Sham_DB
ShamDB_peaks	rn5	chr10	49093800	49094099	Sham_DB
ShamDB_peaks	rn5	chr10	49216500	49218099	Sham_DB
peaks_Injury	rn5	chr10	49100600	49100999	Cut_IO
peaks_Injury	rn5	chr10	48680900	48681199	Cut_IO
peaks_Injury	rn5	chr10	48662200	48664399	Cut_IO
peaks_Injury	rn5	chr10	49317100	49317499	Cut_IO
peaks_Injury	rn5	chr10	49320700	49321499	Cut_IO
peaks_Injury	rn5	chr10	49408600	49408999	Cut_IO
peaks_Injury	rn5	chr10	49110000	49110199	Cut_IO
peaks_Injury	rn5	chr10	49100100	49100399	Cut_IO
peaks_Injury	rn5	chr10	49333600	49333899	Cut_IO
peaks_Injury	rn5	chr10	48710500	48710999	Cut_IO
peaks_Injury	rn5	chr10	50148100	50148399	Cut_IO
peaks_Injury	rn5	chr10	49326100	49326399	Cut_IO
peaks_Injury	rn5	chr10	49325500	49325899	Cut_IO
peaks_Injury	rn5	chr10	49323700	49324099	Cut_IO
peaks_Injury	rn5	chr10	48709900	48710299	Cut_IO
peaks_Injury	rn5	chr10	48744700	48745199	Cut_IO
peaks_Injury	rn5	chr10	49157800	49159199	Cut_IO
peaks_Injury	rn5	chr10	49233500	49233899	Cut_IO
peaks_Injury	rn5	chr10	49234500	49234699	Cut_IO
peaks_Injury	rn5	chr10	49113000	49113399	Cut_IO
peaks_Injury	rn5	chr10	48559500	48560799	Cut_IO
peaks_Injury	rn5	chr10	48763200	48763699	Cut_IO
peaks_Injury	rn5	chr10	48762500	48762799	Cut_IO
peaks_Injury	rn5	chr10	49331700	49331999	Cut_IO
peaks_Injury	rn5	chr10	48582300	48582599	Cut_IO
peaks_Injury	rn5	chr10	48387400	48387699	Cut_IO
peaks_Injury	rn5	chr10	48677300	48677599	Cut_IO
peaks_Injury	rn5	chr10	49302600	49302899	Cut_IO
peaks_Injury	rn5	chr10	49336800	49336999	Cut_IO
peaks_Injury	rn5	chr10	49101200	49101799	Cut_IO
peaks_Injury	rn5	chr10	49248900	49249199	Cut_IO
peaks_Injury	rn5	chr10	49409600	49410299	Cut_IO
peaks_Injury	rn5	chr10	49201400	49201599	Cut_IO
